,T,V
0,0.0,-0.252150572185322
1,0.05000416701391783,-3.9199196215248038
2,0.10000833402783565,-0.20875285060510088
3,0.15001250104175348,-3.9179469917534386
4,0.2000166680556713,-0.20020481456012648
5,0.25002083506958916,-3.8877000026816693
6,0.30002500208350696,-0.16535512921869397
7,0.35002916909742476,-3.8919740336602646
8,0.4000333361113426,-0.15154676335847925
9,0.4500375031252605,-3.8877000026816693
10,0.5000416701391783,-0.12951913213663516
11,0.5500458371530961,-3.8778368543770525
12,0.6000500041670139,-0.08710772286380936
13,0.6500541711809318,-3.8449596944409405
14,0.7000583381948495,-0.047984019825036195
15,0.7500625052087674,-3.793013785098951
16,0.8000666722226852,0.024674285673827387
17,0.8500708392366031,-3.72890333296327
18,0.900075006250521,0.12199038708768038
19,0.9500791732644387,-3.585230187818321
20,1.0000833402783567,0.3695546605605619
21,1.0500875072922744,-3.3356926891491656
22,1.1000916743061921,0.5599128517712576
23,1.1500958413201101,-3.386652250476305
24,1.2001000083340279,0.4330073903336761
25,1.2501041753479456,-3.3360214605014673
26,1.3001083423618636,0.5253919358131163
27,1.3501125093757813,-3.2268693793342207
28,1.400116676389699,0.6430918216991875
29,1.450120843403617,-3.104566463168194
30,1.5001250104175348,0.7828193440579889
31,1.5501291774314527,-2.945112420026784
32,1.6001333444453705,0.9172865414090228
33,1.6501375114592882,-2.777110357351347
34,1.7001416784732062,1.2269885219778613
35,1.750145845487124,-2.443736492097719
36,1.800150012501042,1.4965805150268743
37,1.8501541795149596,-2.257980885468258
38,1.9001583465288774,1.5656223731999521
39,1.9501625135427954,-2.2366107734817624
40,2.0001666805567133,1.5754854960233318
41,2.050170847570631,-2.221158538916084
42,2.100175014584549,1.559704499533576
43,2.1501791815984665,-2.3007211106850534
44,2.2001833486123843,1.407483644867619
45,2.250187515626302,-2.453270851556971
46,2.3001916826402202,1.2743315034901492
47,2.350195849654138,-2.6406703491234174
48,2.4002000166680557,1.1125763208238055
49,2.4502041836819735,-2.664013096099091
50,2.500208350695891,1.0448495606647241
51,2.5502125177098094,-2.743246931736228
52,2.600216684723727,0.9130125228223446
53,2.650220851737645,-2.8116313265196746
54,2.7002250187515626,0.8775052917214317
55,2.7502291857654804,-2.8622620837226043
56,2.800233352779398,0.7578327749757493
57,2.8502375197933163,-3.015469457969007
58,2.900241686807234,0.5625430168061093
59,2.950245853821152,-3.1098268032626963
60,3.0002500208350695,0.5217754589162152
61,3.0502541878489873,-3.1601288071553477
62,3.1002583548629055,0.43136353722364285
63,3.150262521876823,-3.0503192079290447
64,3.200266688890741,0.4412266558898882
65,3.2502708559046587,-3.2413353169115324
66,3.3002750229185764,0.05064716408749598
67,3.3502791899324946,-4.089237033108638
68,3.4002833569464124,-0.7259090543362495
69,3.45028752396033,-4.182936979771453
70,3.500291690974248,-0.5352220812959578
71,3.5502958579881656,-3.924851195979708
72,3.600300025002084,-0.47670090861921577
73,3.6503041920160015,-3.8604119594045865
74,3.7003083590299193,-0.38826160966307244
75,3.750312526043837,-3.727588246829674
76,3.8003166930577548,-0.31001420131573765
77,3.8503208600716725,-3.6348746808117256
78,3.9003250270855907,-0.24853409537878687
79,3.9503291940995084,-3.530654126722971
80,4.000333361113427,-0.21861596912789213
81,4.050337528127344,-3.4701601843660863
82,4.100341695141262,-0.09664207067510408
83,4.15034586215518,7.462478385668214
84,4.200350029169098,10.76338894051896
85,4.250354196183015,10.764046496505141
86,4.300358363196933,10.76338894051896
87,4.350362530210851,10.762731384534591
88,4.400366697224769,10.764046496505141
89,4.450370864238686,10.76306016252655
90,4.500375031252604,10.76437527449891
91,4.550379198266523,10.180795036060363
92,4.6003833652804405,10.764046496505141
93,4.650387532294358,9.009364446154045
94,4.700391699308276,10.765690386478523
95,4.750395866322194,7.841883960613395
96,4.800400033336111,10.164027398828322
97,4.850404200350029,6.788163254745064
98,4.900408367363947,9.083667780602013
99,4.950412534377865,5.824857974259549
100,5.000416701391782,8.159480298335682
101,5.0504208684057,5.000954178767675
102,5.100425035419619,7.311899860175392
103,5.1504292024335365,4.246422531729464
104,5.200433369447454,6.5271171599561475
105,5.250437536461372,3.57539975250633
106,5.30044170347529,5.810720745991569
107,5.3504458704892075,2.9671728830338626
108,5.400450037503125,5.219258958062043
109,5.450454204517043,2.3990564925952635
110,5.500458371530961,4.610701735826491
111,5.5504625385448785,2.1577386288947924
112,5.600466705558796,4.6468666513656
113,5.650470872572715,2.1182861218247107
114,5.700475039586633,4.151736276834058
115,5.75047920660055,1.5528003136155508
116,5.800483373614468,3.486302705637905
117,5.850487540628386,1.009342327901736
118,5.900491707642304,2.951720638703778
119,5.950495874656221,0.6286259137773875
120,6.000500041670139,1.9374621468112931
121,6.050504208684057,-1.0721045718599183
122,6.1005083756979746,0.2186489475239457
123,6.150512542711893,-2.1097051936844213
124,6.200516709725811,-0.42672777296721165
125,6.250520876739729,-2.4614901270244776
126,6.300525043753646,-0.806457865092197
127,6.350529210767564,-2.6045055309986123
128,6.400533377781482,-0.7374160271753201
129,6.4505375447954,-2.3155158044201
130,6.500541711809317,-0.6739632917286914
131,6.550545878823235,-2.198144572935463
132,6.600550045837153,-0.67626468625791
133,6.650554212851071,-2.1014859208604504
134,6.700558379864989,-0.7048677326775117
135,6.750562546878907,-2.0370468238787196
136,6.800566713892825,-0.717361017396289
137,6.8505708809067425,-1.9541965613107046
138,6.90057504792066,-0.7577998077341888
139,6.950579214934578,-1.9019219936715115
140,7.000583381948496,-0.8140195902926244
141,7.0505875489624135,-1.842414469531404
