,T,V
0,0.0,1.4811282899993985
1,0.05000208342014251,-5.0380729956483
2,0.10000416684028501,1.4965805150268743
3,0.15000625026042752,-5.028867371853842
4,0.20000833368057003,1.5232109457105802
5,0.25001041710071253,-4.9986203234290185
6,0.30001250052085504,1.5350466928115827
7,0.35001458394099755,-5.002236818253921
8,0.40001666736114005,1.547211210750018
9,0.45001875078128256,-5.024593332292319
10,0.5000208342014251,1.5534578551303464
11,0.5500229176215676,-5.01045612477046
12,0.6000250010417101,1.566279914719716
13,0.6500270844618525,-5.003551907287577
14,0.7000291678819951,1.5455673569695154
15,0.7500312513021377,-4.99763400666308
16,0.8000333347222801,1.5593757287749386
17,0.8500354181424226,-5.003880679546525
18,0.9000375015625651,1.5570743334662607
19,0.9500395849827077,-5.013415075149189
20,1.0000416684028501,1.5458961277254897
21,1.0500437518229926,-5.022949470932176
22,1.1000458352431353,1.5551017089184458
23,1.1500479186632777,-5.012099986089833
24,1.2000500020834202,1.550498918315763
25,1.2500520855035626,-5.027552282754119
26,1.300054168923705,1.5560880211920671
27,1.3500562523438477,-5.013743847414564
28,1.4000583357639902,1.5551017089184458
29,1.4500604191841326,-5.040045629340509
30,1.5000625026042753,1.5238684872140722
31,1.5500645860244178,-5.023607015475589
32,1.6000666694445602,1.533074068289127
33,1.6500687528647027,-5.021963154118667
34,1.7000708362848451,1.5442522739462494
35,1.7500729197049878,-5.020319292767114
36,1.8000750031251302,1.5416221079027426
37,1.8500770865452727,-5.004538224065064
38,1.9000791699654154,1.5583894164994092
39,1.9500812533855578,-4.98481188888081
40,2.0000833368057003,1.5620058948458206
41,2.0500854202258427,-4.966729415636245
42,2.100087503645985,1.5577318749827078
43,2.1500895870661276,-4.965743098932317
44,2.2000916704862705,1.552471542858248
45,2.250093753906413,-4.978565216232616
46,2.3000958373265554,1.5656223731999521
47,2.350097920746698,-4.933523420986328
48,2.4001000041668403,1.5781156621193353
49,2.450102087586983,-4.945687993033199
50,2.5001041710071252,1.5380056295994964
51,2.5501062544272677,-4.970674682471079
52,2.60010833784741,1.5077587204498566
53,2.650110421267553,-4.983496799895851
54,2.7001125046876955,1.4978955980141408
55,2.750114588107838,-4.984483116634252
56,2.8001166715279804,1.5021696177295123
57,2.850118754948123,-4.971003454708697
58,2.9001208383682653,1.5034847007209389
59,2.9501229217884077,-4.937797459780649
60,3.0001250052085506,1.5271561947352648
61,3.050127088628693,-4.927605521176139
62,3.1001291720488355,1.517621842940927
63,3.150131255468978,-4.905906555789126
64,3.2001333388891204,1.512032740189169
65,3.250135422309263,-4.891440579372573
66,3.3001375057294053,1.5057860959582974
67,3.350139589149548,-4.875988286829626
68,3.4001416725696902,1.491648953833314
69,3.450143755989833,-4.883878819134317
70,3.5001458394099756,1.4633746699196268
71,3.550147922830118,-4.892755668120957
72,3.6001500062502605,1.4508813818197002
73,3.650152089670403,-4.877632147716522
74,3.7001541730905454,1.440031947486393
75,3.750156256510688,-4.878289692072741
76,3.8001583399308307,1.4124152058340553
77,3.850160423350973,-4.876317059006588
78,3.9001625067711156,1.3933465035017443
79,3.950164590191258,-4.865138805106824
80,4.0001666736114005,1.3966342107867438
81,4.050168757031543,-4.837521943561339
82,4.1001708404516855,1.3999219180774232
83,4.150172923871828,-4.8174668426405445
84,4.20017500729197,1.3801956744182713
85,4.250177090712113,-4.8194394754839385
86,4.300179174132255,1.3525789336341225
87,4.350181257552398,-4.807603678534826
88,4.400183340972541,1.3617845138520264
89,4.450185424392683,-4.7697948845080305
90,4.500187507812826,1.3545515579628942
91,4.550189591232968,-4.761904353921854
92,4.600191674653111,1.3430445827395538
93,4.650193758073253,-4.743821888437586
94,4.700195841493396,1.3361403976376547
95,4.750197924913538,-4.701739062047867
96,4.800200008333681,1.3377842512311704
97,4.8502020917538236,-4.679382561871165
98,4.900204175173966,1.325619734671192
99,4.9502062585941085,-4.674779753126361
100,5.0002083420142505,1.3114825938966745
101,5.050210425434393,-4.664587819616659
102,5.100212508854535,1.2924138925424793
103,5.150214592274678,-4.649135533693588
104,5.20021667569482,1.2667697772056181
105,5.250218759114963,-4.616258331062807
106,5.300220842535106,1.2621669873065946
107,5.350222925955248,-4.598175870459084
108,5.400225009375391,1.246385993442907
109,5.450227092795533,-4.587326394382818
110,5.500229176215676,1.2309337703973429
111,5.550231259635818,-4.5514902476480215
112,5.600233343055961,1.2066047385905145
113,5.650235426476104,-4.541955860375314
114,5.700237509896246,1.1816181656613942
115,5.750239593316389,-4.513352699537114
116,5.800241676736531,1.168138567222337
117,5.8502437601566735,-4.480475504977755
118,5.9002458435768155,1.1484123257467558
119,5.950247926996958,-4.452529891111392
120,6.000250010417101,1.1119187794540988
121,6.050252093837243,-4.434118663905726
122,6.100254177257386,1.09482270390423
123,6.150256260677528,-4.399597614498349
124,6.200258344097671,1.0639182599418224
125,6.250260427517813,-4.387433054726857
126,6.300262510937956,1.029726109614324
127,6.350264594358098,-4.342062536761641
128,6.400266677778241,1.0129588052909249
129,6.450268761198384,-4.302609915324778
130,6.500270844618526,0.9919174823674959
131,6.550272928038669,-4.274664310081145
132,6.600275011458811,0.9656158289413317
133,6.650277094878954,-4.245074847147718
134,6.700279178299096,0.9330675331673852
135,6.7502812617192385,-4.23291029059194
136,6.8002833451393805,0.8903273473489699
137,6.850285428559523,-4.202663286176761
138,6.900287511979666,0.8515324099707525
139,6.950289595399808,-4.180306805632908
140,7.000291678819951,0.8147100969619347
141,7.050293762240093,-4.147758401615121
142,7.100295845660236,0.785449509234794
143,7.150297929080378,-4.12967595569237
